BirdID,TripID,Displacement,Length,Duration,NumDives,AverageMaxDiveDepth,MaxDiveDepth,AverageDiveDuration,MaxDiveDuration,TotalDurationDives,Year,Sex,Weight
15.00000000,5.00000000,122.12675936,529.41470587,94259.00000000,10.00000000,4.08906200,5.22094700,2.06000000,2.70000000,20.60000000,2010.00000000,1.00000000,NaN
16.00000000,1.00000000,141.81982901,601.09066500,130591.00000000,16.00000000,4.10180845,6.30184618,2.10000000,4.30000000,33.60000000,2010.00000000,NaN,NaN
16.00000000,2.00000000,152.10106262,499.44473886,88946.00000000,15.00000000,5.32427824,10.06459899,8.35333333,22.70000000,125.30000000,2010.00000000,NaN,NaN
16.00000000,3.00000000,147.42669976,475.04865297,92276.00000000,40.00000000,4.52040196,9.61592386,5.03000000,29.10000000,201.20000000,2010.00000000,NaN,NaN
145.00000000,1.00000000,92.45051805,243.72845982,31229.00000000,1.00000000,4.45615984,4.45615984,2.70000000,2.70000000,2.70000000,2011.00000000,0.00000000,NaN
146.00000000,1.00000000,87.95129583,199.18752905,27536.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,0.00000000,NaN
146.00000000,2.00000000,20.98576525,45.15996279,3950.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,0.00000000,NaN
147.00000000,1.00000000,20.89889893,70.46601787,16967.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,0.00000000,NaN
147.00000000,2.00000000,117.94267729,203.57483329,46785.00000000,5.00000000,7.32564125,12.80763560,8.78000000,16.70000000,43.90000000,2011.00000000,0.00000000,NaN
148.00000000,1.00000000,68.25923439,260.43929642,68404.00000000,2.00000000,3.50272518,3.56900674,1.90000000,2.30000000,3.80000000,2011.00000000,NaN,NaN
148.00000000,2.00000000,239.03348602,600.35556917,115105.00000000,2.00000000,4.55303288,4.90483497,3.10000000,3.90000000,6.20000000,2011.00000000,NaN,NaN
148.00000000,3.00000000,298.52825064,1136.93601656,338670.00000000,16.00000000,5.66834748,10.89056912,8.32500000,26.70000000,133.20000000,2011.00000000,NaN,NaN
148.00000000,4.00000000,34.81143381,79.54087337,6486.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,NaN,NaN
149.00000000,1.00000000,31.87376251,78.48959216,15412.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
149.00000000,2.00000000,77.24696703,179.11122948,30389.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
150.00000000,1.00000000,166.53767207,479.13415468,107447.00000000,7.00000000,5.67690581,12.10403141,7.38571429,28.30000000,51.70000000,2011.00000000,1.00000000,NaN
151.00000000,1.00000000,87.56664626,210.91314799,57528.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
151.00000000,2.00000000,174.70725481,449.56298644,151879.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
151.00000000,3.00000000,175.46781465,514.27371015,111826.00000000,8.00000000,4.85512380,7.26037942,1.70000000,2.70000000,13.60000000,2011.00000000,1.00000000,NaN
151.00000000,4.00000000,27.15693144,75.93651164,19176.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
152.00000000,1.00000000,142.36131817,334.88866673,80850.00000000,5.00000000,4.89055894,6.75052131,5.50000000,18.70000000,27.50000000,2011.00000000,1.00000000,NaN
153.00000000,1.00000000,161.07458387,455.82725556,90567.00000000,24.00000000,4.50714565,7.77023752,2.65000000,10.70000000,63.60000000,2011.00000000,1.00000000,NaN
154.00000000,1.00000000,190.54107737,674.87854757,154595.00000000,9.00000000,4.58532389,6.30184618,2.78888889,7.90000000,25.10000000,2011.00000000,1.00000000,NaN
156.00000000,1.00000000,35.87580792,103.73098366,49779.00000000,6.00000000,3.99898707,9.39158629,5.63333333,12.30000000,33.80000000,2011.00000000,0.00000000,NaN
157.00000000,1.00000000,258.89968868,1409.69658875,334739.00000000,54.00000000,3.79372197,6.94426739,4.12962963,16.70000000,223.00000000,2011.00000000,1.00000000,NaN
158.00000000,1.00000000,117.74353052,1254.77332681,388958.00000000,46.00000000,2.30987889,3.75255565,1.67391304,3.90000000,77.00000000,2011.00000000,0.00000000,NaN
158.00000000,2.00000000,83.01598757,254.34347762,77587.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,0.00000000,NaN
159.00000000,1.00000000,254.01982225,874.62770145,331569.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2011.00000000,1.00000000,NaN
173.00000000,1.00000000,122.38227481,459.41856304,89583.00000000,31.00000000,3.15815978,6.05711429,3.35483871,7.00000000,104.00000000,2012.00000000,1.00000000,2900.00000000
174.00000000,1.00000000,78.29665168,188.97776618,56915.00000000,8.00000000,4.24201943,5.99593131,4.62500000,7.00000000,37.00000000,2012.00000000,1.00000000,3100.00000000
175.00000000,1.00000000,161.15981601,394.51351545,71506.00000000,11.00000000,3.37989573,7.95378644,3.54545455,12.00000000,39.00000000,2012.00000000,0.00000000,2750.00000000
176.00000000,1.00000000,212.66171267,543.17785750,98473.00000000,19.00000000,4.13092404,7.68866022,5.57894737,18.00000000,106.00000000,2012.00000000,1.00000000,2950.00000000
177.00000000,1.00000000,164.60572850,667.55284641,160091.00000000,13.00000000,4.67579102,8.25970130,6.38461538,23.00000000,83.00000000,2012.00000000,1.00000000,2750.00000000
178.00000000,1.00000000,128.50250970,466.59657825,86355.00000000,131.00000000,5.43189592,8.15772968,4.58015267,11.00000000,600.00000000,2012.00000000,1.00000000,3000.00000000
179.00000000,1.00000000,211.00188354,647.45293165,159545.00000000,12.00000000,3.67437741,6.07750861,4.20000000,18.70000000,50.40000000,2012.00000000,0.00000000,2675.00000000
