long,lat,order,hole,piece,id,group,percent,h
-59950.28007081774,-188728.75898418785,34,FALSE,1,homerange,homerange.1,25,10000
-59564.075894671696,-187728.75898418785,35,FALSE,1,homerange,homerange.1,25,10000
-59385.36788194059,-186846.3190751417,36,FALSE,1,homerange,homerange.1,25,10000
-59360.913157022434,-186728.75898418785,37,FALSE,1,homerange,homerange.1,25,10000
-59213.46010649233,-185728.75898418785,38,FALSE,1,homerange,homerange.1,25,10000
-59117.86003779375,-184728.75898418785,39,FALSE,1,homerange,homerange.1,25,10000
-59049.43590989584,-183728.75898418785,40,FALSE,1,homerange,homerange.1,25,10000
-58969.91974649797,-182728.75898418785,41,FALSE,1,homerange,homerange.1,25,10000
-58802.70672984994,-181728.75898418785,42,FALSE,1,homerange,homerange.1,25,10000
-58569.98966893615,-180728.75898418785,43,FALSE,1,homerange,homerange.1,25,10000
-58385.36788194059,-180142.5795242163,44,FALSE,1,homerange,homerange.1,25,10000
-58215.58268170302,-179728.75898418785,45,FALSE,1,homerange,homerange.1,25,10000
-57607.12521298223,-178728.75898418785,46,FALSE,1,homerange,homerange.1,25,10000
-57385.36788194059,-178433.2469196642,47,FALSE,1,homerange,homerange.1,25,10000
-56583.40550097985,-177728.75898418785,48,FALSE,1,homerange,homerange.1,25,10000
-56385.36788194059,-177596.01607917898,49,FALSE,1,homerange,homerange.1,25,10000
-55385.36788194059,-177212.13706358126,50,FALSE,1,homerange,homerange.1,25,10000
-54385.36788194059,-177144.0555145422,51,FALSE,1,homerange,homerange.1,25,10000
-53385.36788194059,-177379.47932807702,52,FALSE,1,homerange,homerange.1,25,10000
-52646.773044203845,-177728.75898418785,53,FALSE,1,homerange,homerange.1,25,10000
-52385.36788194059,-177870.03679756232,54,FALSE,1,homerange,homerange.1,25,10000
-51385.36788194059,-178648.48268980827,55,FALSE,1,homerange,homerange.1,25,10000
-51299.10787842292,-178728.75898418785,56,FALSE,1,homerange,homerange.1,25,10000
-50385.36788194059,-179606.67747094037,57,FALSE,1,homerange,homerange.1,25,10000
-50263.955647455245,-179728.75898418785,58,FALSE,1,homerange,homerange.1,25,10000
-49385.36788194059,-180552.26545316915,59,FALSE,1,homerange,homerange.1,25,10000
-49187.505139163135,-180728.75898418785,60,FALSE,1,homerange,homerange.1,25,10000
-48385.36788194059,-181345.9894608894,61,FALSE,1,homerange,homerange.1,25,10000
-47773.61133737967,-181728.75898418785,62,FALSE,1,homerange,homerange.1,25,10000
-47385.36788194059,-181925.2903250582,63,FALSE,1,homerange,homerange.1,25,10000
-46385.36788194059,-182340.7879865662,64,FALSE,1,homerange,homerange.1,25,10000
-45385.36788194059,-182636.25176161056,65,FALSE,1,homerange,homerange.1,25,10000
-44954.52382099538,-182728.75898418785,66,FALSE,1,homerange,homerange.1,25,10000
-44385.36788194059,-182822.9420028542,67,FALSE,1,homerange,homerange.1,25,10000
-43385.36788194059,-182938.80697466218,68,FALSE,1,homerange,homerange.1,25,10000
-42385.36788194059,-183013.7389670936,69,FALSE,1,homerange,homerange.1,25,10000
-41385.36788194059,-183039.48639593236,70,FALSE,1,homerange,homerange.1,25,10000
-40385.36788194059,-183051.5172904414,71,FALSE,1,homerange,homerange.1,25,10000
-39385.36788194059,-183020.39968923916,72,FALSE,1,homerange,homerange.1,25,10000
-38385.36788194059,-182971.26343080378,73,FALSE,1,homerange,homerange.1,25,10000
-37385.36788194059,-182905.24571656354,74,FALSE,1,homerange,homerange.1,25,10000
-36385.36788194059,-182821.62790551913,75,FALSE,1,homerange,homerange.1,25,10000
