BirdID,Trip,Date,Year,Time,DateTime,UniqueID,TagType,Sex,Duration,MaxDepth,DiveShape,ActiveSwimTime,Fdens,Fdist,Fside,Gdens,Log_hu3,VertDif_WaterTemp,Zeta,CurrentSpeed,Bathy,WindSpeed,DateTime2,diveshpchr,sexchr,bird_trip_year,Sttime,Entime,trip_dur,distmax,disttime,distdifftime,distlon,distlat,TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,difftime,ppn_trip,total_dives,ndives,ppn_dives,nprevdives,ppn_prevdives,distance,leg,distaldistance,x,y,distaldistance2,diststandard,diffsttime,diffentime,ppn_distance,hour
299,2,30/07/2013,2013,09:49:53,41485.4096423611,2831,CEFAS,1,5.1,8.2800956252,0,0.1,0,NA,NA,0,7.6118820626,1.73539257269,0.965866088867,0.25830518965,33.88373184204,1.7225618271177,2013-07-30T09:49:53Z,V,Female,299_2_2013,2013-07-29T09:23:00Z,2013-07-30T13:38:00Z,1695,188923.947449857,2013-07-30T08:16:00Z,1373,-5.52312369741069,50.0173379073741,188.67767815,101735,598.99785832,81,313.9,1466.88333333333,0.8654178957718781,81,81,1,80,0.9876543209876543,185549.42439077492,Inbound,4223.81387615782,-5.55740130326,50.0482912038,4223.81387615782,93.8833333333333,-1373,322,0.9821381931479188,9
997,1,28/07/2013,2013,16:28:35,41483.6865173611,2832,CEFAS,0,1.1,3.6913726802,0,0.2,0,17,1,0,10.0931231693,7.29887202706,-2.919842004776,0.137618742879,65.93143463135,7.418182901307,2013-07-28T16:28:35Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,293.583333333333,0.22342719431760527,27,1,0.037037037037037035,0,0,107834.33985414589,Outbound,18014.1071068433,-5.22274414407,50.7583562374,-18014.1071068433,-694.416666666667,-988,326,0.8596441269609458,16
997,1,28/07/2013,2013,16:45:14,41483.698079861104,2833,CEFAS,0,0.7,3.4364436277,0,0.4,0,15,1,0,9.5229481727,6.84382162536,-2.188359498978,0.167430530952,66.34886932373,7.2195571329434,2013-07-28T16:45:14Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,310.233333333333,0.23609842719431762,27,2,0.07407407407407407,1,0.037037037037037035,113944.854898993,Outbound,11516.5896707324,-5.27098518761,50.6986548722,-11516.5896707324,-677.766666666667,-988,326,0.9083565165217687,16
997,1,28/07/2013,2013,17:41:53,41483.737420138896,2834,CEFAS,0,1.9,3.8239357875,0,0.9,0,17,1,0,6.9256363822,6.21270857217,-0.922972679138,0.399672618282,65.91780853271,6.8586654211093,2013-07-28T17:41:53Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,366.883333333333,0.2792110603754439,27,3,0.1111111111111111,2,0.07407407407407407,117413.6449136834,Outbound,11229.3483970731,-5.36291860209,50.6620919893,-11229.3483970731,-621.116666666667,-988,326,0.9360093492633856,17
997,1,28/07/2013,2013,18:37:17,41483.7758923611,2835,CEFAS,0,2.3,4.588722945,0,0.2,0,14,1,0,5.9864134592,5.59402567435,0.505308389664,0.553926657411,67.13773345947,7.4469171842881,2013-07-28T18:37:17Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,422.283333333333,0.32137239979705734,27,4,0.14814814814814814,3,0.1111111111111111,120417.17265556501,Outbound,10212.4161721182,-5.37334796172,50.6346566225,-10212.4161721182,-565.716666666667,-988,326,0.9599531596206903,18
997,1,28/07/2013,2013,18:39:14,41483.7772465278,2836,CEFAS,0,1.1,3.3140776825,0,1,0,13,1,0,5.9864134592,5.59402567435,0.505308389664,0.553926657411,67.13773345947,7.4469171842881,2013-07-28T18:39:14Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,424.233333333333,0.3228564180618975,27,5,0.18518518518518517,4,0.14814814814814814,120937.68295430302,Outbound,9546.72872107052,-5.366101191,50.6302239927,-9546.72872107052,-563.766666666667,-988,326,0.9641026135139308,18
997,1,28/07/2013,2013,18:43:12,41483.7800011574,2837,CEFAS,0,1.9,4.3949768651,0,0.1,0,12,1,0,5.9738986321,4.9637212677400004,0.527650535107,0.552241205521,65.66619873047,7.4823652132861,2013-07-28T18:43:12Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,428.2,0.3258751902587519,27,6,0.2222222222222222,5,0.18518518518518517,121782.20421040956,Outbound,8991.91570364694,-5.362157714,50.6227623993,-8991.91570364694,-559.8,-988,326,0.9708350490153456,18
997,1,28/07/2013,2013,19:24:04,41483.808380787,2838,CEFAS,0,1.9,4.0074847053,0,0.9,0,12,1,0,5.9738986321,4.9637212677400004,0.527650535107,0.552241205521,65.66619873047,7.4823652132861,2013-07-28T19:24:04Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,469.066666666667,0.3569761542364282,27,7,0.25925925925925924,6,0.2222222222222222,122194.51499043313,Outbound,8853.76936024298,-5.36194103506,50.619056037,-8853.76936024298,-518.933333333333,-988,326,0.9741219476137823,19
997,1,28/07/2013,2013,19:43:16,41483.8217141204,2839,CEFAS,0,1.9,3.7525556528,0,0.8,0,11,1,0.00143,5.8189110464,4.45964905526,1.707109570503,0.580147661987,64.01879882813,7.7686909726823,2013-07-28T19:43:16Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,488.266666666667,0.3715880263825469,27,8,0.2962962962962963,7,0.25925925925925924,122979.21185931996,Outbound,7447.23326022478,-5.34398061407,50.6127163972,-7447.23326022478,-499.733333333333,-988,326,0.9803774693306639,19
997,1,28/07/2013,2013,19:48:40,41483.8254641203,2840,CEFAS,0,1.1,3.4976266003,0,0.5,0,13,1,0,5.8189110464,4.45964905526,1.707109570503,0.580147661987,64.01879882813,7.7686909726823,2013-07-28T19:48:40Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,493.666666666667,0.37569761542364283,27,9,0.3333333333333333,8,0.2962962962962963,121390.59070879842,Outbound,7916.11797343141,-5.34300600122,50.6270811314,-7916.11797343141,-494.333333333333,-988,326,0.9677131469649044,19
